"PriorityRank","RequirementID","Title","ReqType","Priority","SubsystemCode","SubsystemName","Criticality","OwnerID","OwnerName","OwnerTeam","MinTestLevel","LastGoodBuild","InterveningBuilds","Cases","RigHours","TestMinutes","CumulativeRigHours","PriorityScore","ActionCode","IsThisWeek","RecommendedAction"
"86","REQ-0249","The subsystem shall complete, within budget, command & telemetry link behaviour case 249","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-008","Hiroshi Ibarra","Payload","HIL","","0","2","2.50","349","353.50","79.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"87","REQ-0398","The subsystem shall complete, within budget, command & telemetry link behaviour case 398","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-014","Nils Castellan","Ground Segment","HIL","","0","1","2.50","114","356.00","79.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"88","REQ-0444","The payload shall inhibit release when navigation & sensor fusion behaviour case 444","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-007","Grace Baptiste","Integration & Test","HIL","","0","1","2.50","123","358.50","79.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"89","REQ-0027","The payload shall inhibit release when command & telemetry link behaviour case 27","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-020","Tomas Ustinov","Payload","HIL","33","13","4","2.50","449","361.00","77.00","RERUN","0","Evidence was valid at build 33 but the subsystem has changed in 13 builds since. Re-run on the release candidate."
"90","REQ-0416","The payload shall inhibit release when command & telemetry link behaviour case 416","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-017","Quentin Zielinski","Avionics","HIL","30","14","3","5.00","522","366.00","77.00","RERUN","0","Evidence was valid at build 30 but the subsystem has changed in 14 builds since. Re-run on the release candidate."
"91","REQ-0496","The payload shall inhibit release when navigation & sensor fusion behaviour case 496","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-012","Liam Moreau","Payload","HIL","39","12","3","5.00","158","371.00","77.00","RERUN","0","Evidence was valid at build 39 but the subsystem has changed in 12 builds since. Re-run on the release candidate."
"92","REQ-0008","The system shall provide command & telemetry link behaviour case 8","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-015","Olabisi Jindal","Integration & Test","Integration","","0","3","0.00","297","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"93","REQ-0028","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 28","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-002","Bruno Oyelaran","Ground Segment","HIL","","0","2","0.00","231","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"94","REQ-0122","The payload shall inhibit release when command & telemetry link behaviour case 122","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-001","Aditi Halvorsen","Avionics","HIL","","0","1","0.00","194","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"95","REQ-0155","The system shall provide power management behaviour case 155","Functional","MustShip","PWR-MGMT","Power Management","Mission","P-021","Ulrike Dalgleish","Avionics","Integration","","0","1","0.00","207","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"96","REQ-0172","The payload shall inhibit release when navigation & sensor fusion behaviour case 172","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-009","Imani Petrovic","Avionics","HIL","","0","3","0.00","394","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"97","REQ-0196","The payload shall inhibit release when command & telemetry link behaviour case 196","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-017","Quentin Zielinski","Avionics","HIL","","0","1","0.00","224","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"98","REQ-0218","The interface shall exchange, without loss, power management behaviour case 218","Interface","MustShip","PWR-MGMT","Power Management","Mission","P-002","Bruno Oyelaran","Ground Segment","Integration","","0","1","0.00","51","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"99","REQ-0228","The system shall record, for certification, command & telemetry link behaviour case 228","Regulatory","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-018","Rafael Grigorescu","Ground Segment","Field","","0","2","0.00","370","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"100","REQ-0247","The subsystem shall complete, within budget, command & telemetry link behaviour case 247","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-016","Priya Quintana","Payload","HIL","","0","3","0.00","239","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"101","REQ-0272","The payload shall inhibit release when power management behaviour case 272","Safety","MustShip","PWR-MGMT","Power Management","Mission","P-020","Tomas Ustinov","Payload","HIL","","0","1","0.00","22","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"102","REQ-0286","The payload shall inhibit release when navigation & sensor fusion behaviour case 286","Safety","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-014","Nils Castellan","Ground Segment","HIL","","0","3","0.00","474","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"103","REQ-0316","The payload shall inhibit release when power management behaviour case 316","Safety","MustShip","PWR-MGMT","Power Management","Mission","P-005","Elena Lindqvist","Avionics","HIL","","0","2","0.00","357","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"104","REQ-0378","The payload shall inhibit release when power management behaviour case 378","Safety","MustShip","PWR-MGMT","Power Management","Mission","P-001","Aditi Halvorsen","Avionics","HIL","","0","1","0.00","94","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"105","REQ-0394","The system shall record, for certification, navigation & sensor fusion behaviour case 394","Regulatory","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-006","Farid Saltzman","Ground Segment","Field","","0","3","0.00","431","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"106","REQ-0433","The interface shall exchange, without loss, power management behaviour case 433","Interface","MustShip","PWR-MGMT","Power Management","Mission","P-015","Olabisi Jindal","Integration & Test","Integration","","0","3","0.00","330","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"107","REQ-0459","The system shall provide power management behaviour case 459","Functional","MustShip","PWR-MGMT","Power Management","Mission","P-018","Rafael Grigorescu","Ground Segment","Integration","","0","2","0.00","173","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"108","REQ-0486","The interface shall exchange, without loss, power management behaviour case 486","Interface","MustShip","PWR-MGMT","Power Management","Mission","P-003","Camille Villalobos","Integration & Test","Integration","","0","2","0.00","212","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"109","REQ-0529","The subsystem shall complete, within budget, navigation & sensor fusion behaviour case 529","Performance","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-005","Elena Lindqvist","Avionics","HIL","","0","1","0.00","187","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"110","REQ-0537","The payload shall inhibit release when command & telemetry link behaviour case 537","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-016","Priya Quintana","Payload","HIL","","0","1","0.00","25","371.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"111","REQ-0049","The subsystem shall complete, within budget, command & telemetry link behaviour case 49","Performance","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-004","Dmitri Eriksen","Payload","HIL","","0","4","2.50","409","373.50","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"112","REQ-0124","The payload shall inhibit release when power management behaviour case 124","Safety","MustShip","PWR-MGMT","Power Management","Mission","P-014","Nils Castellan","Ground Segment","HIL","","0","1","2.50","61","376.00","75.00","INDEPENDENT_WITNESS","0","Verified by its own owner against a policy requiring independence. Re-witness with a second engineer; the test need not be re-executed if nothing has changed."
"113","REQ-0197","The system shall provide navigation & sensor fusion behaviour case 197","Functional","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-010","Jonas Weatherby","Ground Segment","Integration","","0","4","2.50","757","378.50","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"114","REQ-0233","The interface shall exchange, without loss, navigation & sensor fusion behaviour case 233","Interface","MustShip","NAV-SENS","Navigation & Sensor Fusion","Mission","P-010","Jonas Weatherby","Ground Segment","Integration","","0","3","2.50","250","381.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"115","REQ-0457","The system shall record, for certification, power management behaviour case 457","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","P-021","Ulrike Dalgleish","Avionics","Field","","0","1","2.50","80","383.50","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"116","REQ-0464","The system shall record, for certification, power management behaviour case 464","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","P-020","Tomas Ustinov","Payload","Field","","0","1","2.50","85","386.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"117","REQ-0116","The payload shall inhibit release when command & telemetry link behaviour case 116","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-014","Nils Castellan","Ground Segment","HIL","","0","4","5.00","397","391.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"118","REQ-0224","The payload shall inhibit release when command & telemetry link behaviour case 224","Safety","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-018","Rafael Grigorescu","Ground Segment","HIL","","0","3","5.00","350","396.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"119","REQ-0194","The system shall record, for certification, power management behaviour case 194","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","P-015","Olabisi Jindal","Integration & Test","Field","","0","2","10.50","210","406.50","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"120","REQ-0042","The system shall record, for certification, command & telemetry link behaviour case 42","Regulatory","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-009","Imani Petrovic","Avionics","Field","","0","3","13.00","310","419.50","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"121","REQ-0161","The system shall record, for certification, power management behaviour case 161","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","P-015","Olabisi Jindal","Integration & Test","Field","","0","4","15.50","714","435.00","75.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Field level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"122","REQ-0443","The system shall provide command & telemetry link behaviour case 443","Functional","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-010","Jonas Weatherby","Ground Segment","Integration","41","10","3","0.00","349","435.00","73.00","RERUN","0","Evidence was valid at build 41 but the subsystem has changed in 10 builds since. Re-run on the release candidate."
"123","REQ-0045","The interface shall exchange, without loss, command & telemetry link behaviour case 45","Interface","MustShip","COMM-LNK","Command & Telemetry Link","Mission","P-004","Dmitri Eriksen","Payload","Integration","64","1","2","2.50","263","437.50","70.00","RERUN","0","Evidence was valid at build 64 but the subsystem has changed in 1 builds since. Re-run on the release candidate."
"124","REQ-0093","The subsystem shall complete, within budget, power management behaviour case 93","Performance","MustShip","PWR-MGMT","Power Management","Mission","P-001","Aditi Halvorsen","Avionics","HIL","39","4","2","5.00","112","442.50","70.00","RERUN","0","Evidence was valid at build 39 but the subsystem has changed in 4 builds since. Re-run on the release candidate."
"125","REQ-0435","The system shall record, for certification, power management behaviour case 435","Regulatory","MustShip","PWR-MGMT","Power Management","Mission","P-019","Sana Nakamura","Integration & Test","Field","42","4","1","8.00","92","450.50","70.00","RERUN","0","Evidence was valid at build 42 but the subsystem has changed in 4 builds since. Re-run on the release candidate."
"126","REQ-0199","The subsystem shall complete, within budget, diagnostics & logging behaviour case 199","Performance","MustShip","DIAG-LOG","Diagnostics & Logging","Support","P-002","Bruno Oyelaran","Ground Segment","HIL","","0","1","0.00","75","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"127","REQ-0223","The subsystem shall complete, within budget, ground control software behaviour case 223","Performance","MustShip","GND-CTRL","Ground Control Software","Support","P-009","Imani Petrovic","Avionics","HIL","","0","1","0.00","40","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"128","REQ-0346","The system shall provide ground control software behaviour case 346","Functional","MustShip","GND-CTRL","Ground Control Software","Support","P-013","Mei Thackeray","Avionics","Integration","","0","2","0.00","219","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"129","REQ-0354","The system shall provide ground control software behaviour case 354","Functional","MustShip","GND-CTRL","Ground Control Software","Support","P-014","Nils Castellan","Ground Segment","Integration","","0","1","0.00","193","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"130","REQ-0402","The system shall provide ground control software behaviour case 402","Functional","MustShip","GND-CTRL","Ground Control Software","Support","P-014","Nils Castellan","Ground Segment","Integration","","0","4","0.00","540","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"131","REQ-0428","The interface shall exchange, without loss, ground control software behaviour case 428","Interface","MustShip","GND-CTRL","Ground Control Software","Support","P-003","Camille Villalobos","Integration & Test","Integration","","0","1","0.00","142","450.50","66.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"132","REQ-0274","The subsystem shall complete, within budget, flight control interface behaviour case 274","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-011","Katya Fairweather","Integration & Test","HIL","54","22","2","2.50","125","453.00","65.00","REVIEW_THEN_RERUN","0","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"133","REQ-0540","The system shall provide flight control interface behaviour case 540","Functional","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-006","Farid Saltzman","Ground Segment","Integration","65","17","3","2.50","348","455.50","65.00","REVIEW_THEN_RERUN","0","The requirement itself was modified after it was verified. Confirm the test still checks the right thing, then re-run -- re-running first risks certifying against the old wording."
"134","REQ-0539","The interface shall exchange, without loss, ground control software behaviour case 539","Interface","MustShip","GND-CTRL","Ground Control Software","Support","P-003","Camille Villalobos","Integration & Test","Integration","29","11","3","0.00","306","455.50","64.00","RERUN","0","Evidence was valid at build 29 but the subsystem has changed in 11 builds since. Re-run on the release candidate."
"135","REQ-0012","The subsystem shall complete, within budget, diagnostics & logging behaviour case 12","Performance","MustShip","DIAG-LOG","Diagnostics & Logging","Support","P-020","Tomas Ustinov","Payload","HIL","39","9","2","2.50","256","458.00","64.00","RERUN","0","Evidence was valid at build 39 but the subsystem has changed in 9 builds since. Re-run on the release candidate."
"136","REQ-0293","The interface shall exchange, without loss, ground control software behaviour case 293","Interface","MustShip","GND-CTRL","Ground Control Software","Support","P-003","Camille Villalobos","Integration & Test","Integration","50","7","1","2.50","125","460.50","64.00","RERUN","0","Evidence was valid at build 50 but the subsystem has changed in 7 builds since. Re-run on the release candidate."
"137","REQ-0482","The interface shall exchange, without loss, ground control software behaviour case 482","Interface","MustShip","GND-CTRL","Ground Control Software","Support","P-012","Liam Moreau","Payload","Integration","31","10","1","2.50","177","463.00","64.00","RERUN","0","Evidence was valid at build 31 but the subsystem has changed in 10 builds since. Re-run on the release candidate."
"138","REQ-0057","The interface shall exchange, without loss, flight control interface behaviour case 57","Interface","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-019","Sana Nakamura","Integration & Test","Integration","43","27","1","0.00","151","463.00","61.00","RERUN","0","Evidence was valid at build 43 but the subsystem has changed in 27 builds since. Re-run on the release candidate."
"139","REQ-0077","The system shall provide payload release mechanism behaviour case 77","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-020","Tomas Ustinov","Payload","Integration","69","14","2","0.00","388","463.00","61.00","RERUN","0","Evidence was valid at build 69 but the subsystem has changed in 14 builds since. Re-run on the release candidate."
"140","REQ-0320","The system shall provide flight control interface behaviour case 320","Functional","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","Integration","63","18","2","0.00","157","463.00","61.00","RERUN","0","Evidence was valid at build 63 but the subsystem has changed in 18 builds since. Re-run on the release candidate."
"141","REQ-0348","The system shall provide payload release mechanism behaviour case 348","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-016","Priya Quintana","Payload","Integration","64","17","1","0.00","175","463.00","61.00","RERUN","0","Evidence was valid at build 64 but the subsystem has changed in 17 builds since. Re-run on the release candidate."
"142","REQ-0505","The system shall provide flight control interface behaviour case 505","Functional","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","Integration","30","33","1","0.00","22","463.00","61.00","RERUN","0","Evidence was valid at build 30 but the subsystem has changed in 33 builds since. Re-run on the release candidate."
"143","REQ-0037","The subsystem shall complete, within budget, payload release mechanism behaviour case 37","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-017","Quentin Zielinski","Avionics","HIL","62","19","4","2.50","490","465.50","61.00","RERUN","0","Evidence was valid at build 62 but the subsystem has changed in 19 builds since. Re-run on the release candidate."
"144","REQ-0147","The interface shall exchange, without loss, payload release mechanism behaviour case 147","Interface","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","Integration","61","20","3","2.50","405","468.00","61.00","RERUN","0","Evidence was valid at build 61 but the subsystem has changed in 20 builds since. Re-run on the release candidate."
"145","REQ-0148","The payload shall inhibit release when flight control interface behaviour case 148","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-017","Quentin Zielinski","Avionics","HIL","70","13","4","2.50","579","470.50","61.00","RERUN","0","Evidence was valid at build 70 but the subsystem has changed in 13 builds since. Re-run on the release candidate."
"146","REQ-0406","The subsystem shall complete, within budget, payload release mechanism behaviour case 406","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-010","Jonas Weatherby","Ground Segment","HIL","38","27","1","2.50","127","473.00","61.00","RERUN","0","Evidence was valid at build 38 but the subsystem has changed in 27 builds since. Re-run on the release candidate."
"147","REQ-0407","The interface shall exchange, without loss, flight control interface behaviour case 407","Interface","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-006","Farid Saltzman","Ground Segment","Integration","57","22","4","2.50","394","475.50","61.00","RERUN","0","Evidence was valid at build 57 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"148","REQ-0495","The system shall provide payload release mechanism behaviour case 495","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","Integration","71","12","3","2.50","436","478.00","61.00","RERUN","0","Evidence was valid at build 71 but the subsystem has changed in 12 builds since. Re-run on the release candidate."
"149","REQ-0501","The subsystem shall complete, within budget, flight control interface behaviour case 501","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-002","Bruno Oyelaran","Ground Segment","HIL","36","30","3","2.50","256","480.50","61.00","RERUN","0","Evidence was valid at build 36 but the subsystem has changed in 30 builds since. Re-run on the release candidate."
"150","REQ-0262","The subsystem shall complete, within budget, payload release mechanism behaviour case 262","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-009","Imani Petrovic","Avionics","HIL","64","17","2","5.00","241","485.50","61.00","RERUN","0","Evidence was valid at build 64 but the subsystem has changed in 17 builds since. Re-run on the release candidate."
"151","REQ-0377","The payload shall inhibit release when flight control interface behaviour case 377","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-012","Liam Moreau","Payload","HIL","57","22","3","7.50","290","493.00","61.00","RERUN","0","Evidence was valid at build 57 but the subsystem has changed in 22 builds since. Re-run on the release candidate."
"152","REQ-0376","The system shall record, for certification, payload release mechanism behaviour case 376","Regulatory","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-015","Olabisi Jindal","Integration & Test","Field","44","24","2","10.50","199","503.50","61.00","RERUN","0","Evidence was valid at build 44 but the subsystem has changed in 24 builds since. Re-run on the release candidate."
"153","REQ-0278","The system shall record, for certification, flight control interface behaviour case 278","Regulatory","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-018","Rafael Grigorescu","Ground Segment","Field","49","24","4","21.00","268","524.50","61.00","RERUN","0","Evidence was valid at build 49 but the subsystem has changed in 24 builds since. Re-run on the release candidate."
"154","REQ-0132","The payload shall inhibit release when flight control interface behaviour case 132","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","HIL","","0","2","0.00","56","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"155","REQ-0222","The system shall provide payload release mechanism behaviour case 222","Functional","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-014","Nils Castellan","Ground Segment","Integration","","0","3","0.00","392","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"156","REQ-0245","The subsystem shall complete, within budget, flight control interface behaviour case 245","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-003","Camille Villalobos","Integration & Test","HIL","","0","1","0.00","180","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"157","REQ-0337","The subsystem shall complete, within budget, flight control interface behaviour case 337","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-004","Dmitri Eriksen","Payload","HIL","","0","2","0.00","242","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"158","REQ-0342","The subsystem shall complete, within budget, flight control interface behaviour case 342","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-014","Nils Castellan","Ground Segment","HIL","","0","2","0.00","274","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"159","REQ-0345","The subsystem shall complete, within budget, payload release mechanism behaviour case 345","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-006","Farid Saltzman","Ground Segment","HIL","","0","2","0.00","348","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"160","REQ-0363","The subsystem shall complete, within budget, flight control interface behaviour case 363","Performance","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-020","Tomas Ustinov","Payload","HIL","","0","3","0.00","518","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"161","REQ-0380","The subsystem shall complete, within budget, payload release mechanism behaviour case 380","Performance","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-016","Priya Quintana","Payload","HIL","","0","1","0.00","113","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"162","REQ-0446","The interface shall exchange, without loss, payload release mechanism behaviour case 446","Interface","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","Integration","","0","1","0.00","189","524.50","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the Integration level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"163","REQ-0243","The payload shall inhibit release when flight control interface behaviour case 243","Safety","ShouldShip","FLT-CTRL","Flight Control Interface","Safety","P-007","Grace Baptiste","Integration & Test","HIL","","0","2","2.50","218","527.00","59.00","RAISE_TEST_LEVEL","0","Passing evidence sits below the HIL level this requirement type demands. Book rig time; a lower-level pass is not admissible."
"164","REQ-0002","The payload shall inhibit release when payload release mechanism behaviour case 2","Safety","ShouldShip","REL-MECH","Payload Release Mechanism","Safety","P-012","Liam Moreau","Payload","HIL","","0","3","5.00","272","532.00","59.00","INDEPENDENT_WITNESS","0","Verified by its own owner against a policy requiring independence. Re-witness with a second engineer; the test need not be re-executed if nothing has changed."
"165","REQ-0290","The system shall record, for certification, structural interface behaviour case 290","Regulatory","ShouldShip","STRUCT-I","Structural Interface","Safety","P-021","Ulrike Dalgleish","Avionics","Field","70","2","4","15.50","464","547.50","54.00","RERUN","0","Evidence was valid at build 70 but the subsystem has changed in 2 builds since. Re-run on the release candidate."
"166","REQ-0239","The interface shall exchange, without loss, power management behaviour case 239","Interface","ShouldShip","PWR-MGMT","Power Management","Mission","P-015","Olabisi Jindal","Integration & Test","Integration","","0","1","0.00","24","547.50","52.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"167","REQ-0362","The subsystem shall complete, within budget, command & telemetry link behaviour case 362","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","P-007","Grace Baptiste","Integration & Test","HIL","","0","1","0.00","15","547.50","52.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"168","REQ-0480","The system shall provide power management behaviour case 480","Functional","ShouldShip","PWR-MGMT","Power Management","Mission","P-004","Dmitri Eriksen","Payload","Integration","","0","1","0.00","194","547.50","52.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
"169","REQ-0005","The subsystem shall complete, within budget, command & telemetry link behaviour case 5","Performance","ShouldShip","COMM-LNK","Command & Telemetry Link","Mission","P-001","Aditi Halvorsen","Avionics","HIL","","0","1","2.50","184","550.00","52.00","VERIFY","0","No passing evidence exists. Write and run the test before the gate review; this is not a re-run, it is first-time verification."
